name	 Ue	 X	 mu	 rho	 cf	 Re	 Retheta	 utau	 delta95
SW981005A	 21.4208	 5.5	 1.8181e-05	 1.24736	 0.00244218	 8.083e+06	 12633.1	 0.74853	 0.0565324
SW981005B	 15.8911	 5.5	 1.81771e-05	 1.24771	 0.00256335	 5.99937e+06	 9706.91	 0.568911	 0.0581681
SW981005C	 13.1418	 5.5	 1.81788e-05	 1.24832	 0.00264518	 4.96339e+06	 8209.05	 0.477932	 0.0593244
SW981005D	 10.4461	 5.5	 1.81801e-05	 1.24973	 0.00274976	 3.94945e+06	 6699.51	 0.387335	 0.0605242
SW981005E	 26.7541	 5.5	 1.81807e-05	 1.25105	 0.00236267	 1.01255e+07	 15182.2	 0.919555	 0.0550009
SW981005F	 32.2136	 5.5	 1.81814e-05	 1.25098	 0.00229465	 1.21906e+07	 17901.4	 1.09115	 0.0541662
SW981006A	 37.3971	 5.5	 1.81819e-05	 1.2521	 0.00224551	 1.41645e+07	 20258.1	 1.25309	 0.053605
SW981006B	 42.5093	 5.5	 1.8182e-05	 1.25215	 0.00219924	 1.61013e+07	 22845.8	 1.40963	 0.0532306
SW981006C	 48.2845	 5.5	 1.82325e-05	 1.25373	 0.00215416	 1.82612e+07	 25779.2	 1.58464	 0.0529455
SW981008A	 52.182	 5.5	 1.82344e-05	 1.24655	 0.00214253	 1.96201e+07	 26612.1	 1.70793	 0.0515482
SW981008B	 46.45	 5.5	 1.82329e-05	 1.24641	 0.00218271	 1.74644e+07	 23870.2	 1.53451	 0.0518869
SW981008C	 40.0002	 5.5	 1.82297e-05	 1.24548	 0.00222969	 1.50308e+07	 21099.2	 1.33558	 0.0529084
SW981008D	 45.3452	 5.5	 1.82314e-05	 1.2439	 0.00219473	 1.70161e+07	 23119.6	 1.50213	 0.0517484
SW981012A	 36.7422	 5.5	 1.82296e-05	 1.20057	 0.00228187	 1.33088e+07	 18479.7	 1.24107	 0.0526096
SW981012B	 31.6689	 5.5	 1.82296e-05	 1.20057	 0.00232988	 1.14711e+07	 16422.4	 1.0809	 0.0536954
SW981012C	 26.5354	 5.5	 1.82296e-05	 1.20057	 0.00239093	 9.61167e+06	 14207.2	 0.917474	 0.0548289
SW981013A	 21.4209	 5.5	 1.8205e-05	 1.22052	 0.00245955	 7.89868e+06	 12150.4	 0.751191	 0.0560784
SW981013B	 15.9944	 5.5	 1.8201e-05	 1.22129	 0.00256859	 5.90275e+06	 9601.08	 0.573192	 0.0582004
SW981013C	 10.5197	 5.5	 1.8201e-05	 1.2237	 0.00274461	 3.88997e+06	 6765.09	 0.389698	 0.0611345
SW981013D	 13.2775	 5.5	 1.82042e-05	 1.22342	 0.00263976	 4.90776e+06	 8298.78	 0.482373	 0.0591412
SW981112A	 10.3638	 5.5	 1.81293e-05	 1.23852	 0.00275271	 3.89407e+06	 6662.43	 0.384489	 0.0608262
